Name,Kingdom,Species,%identity,%cover,Length,Matches Percentage
AQP 9522,Bacteria,"Idiomarina piscisalsi 99.47%
Idiomarina zobellii 99.21%",99.47%,100.00%,378,"Idiomarina piscisalsi 99.47%
Idiomarina zobellii 99.21%
Idiomarina loihiensis 98.68%
Idiomarina ramblicola 98.16%
Idiomarina abyssalis 98.16%
Idiomarina fontislapidosi 96.84%
Idiomarina baltica OS145 96.58%
Idiomarina aquatica 96.05%
Pseudidiomarina homiensis 96.05%
Pseudidiomarina aquimaris 95.99%
Pseudidiomarina halophila 95.00%"
AQP 9515,Bacteria,Idiomarina zobellii,99.20%,100.00%,500,"Idiomarina zobellii 99.20%
Idiomarina piscisalsi 98.60%
Idiomarina loihiensis 96.22%
Idiomarina aquatica 96.00%
Idiomarina fontislapidosi 95.62%
Idiomarina baltica OS145 95.42%
Idiomarina ramblicola 95.44%
Idiomarina abyssalis 95.22%
Idiomarina seosinensis 95.00%"
AQP 9594,Bacteria,"Idiomarina zobellii 99.30%
Idiomarina piscisalsi 99.19%",99.30%,100.00%,860,"Idiomarina zobellii 99.30%
Idiomarina piscisalsi 99.19%
Idiomarina aquatica 97.21%
Idiomarina loihiensis 97.22%
Idiomarina fontislapidosi 96.76%
Idiomarina baltica OS145 96.64%
Idiomarina ramblicola 96.65%
Idiomarina seosinensis 96.63%
Idiomarina abyssalis 96.52%"
AQP 4234,Bacteria,Janibacter indicus,99.75%,100.00%,791,"Janibacter indicus 99.75%
Janibacter hoylei PVAS-1 98.61%
Janibacter cremeus 97.98%
Janibacter limosus 97.97%
Janibacter terrae 97.86%
Janibacter anophelis 97.85%
Janibacter corallicola 97.35%
Janibacter melonis 97.10%
Janibacter alkaliphilus 96.60%
Janibacter massiliensis 96.61%
Knoellia sinensis 97.05%
Knoellia flava TL1 96.35%
Knoellia locipacati 97.27%
Knoellia subterranea 96.09%
Knoellia remsis 96.86%
Knoellia aerolata 96.28%
Phycicoccus ochangensis 96.62%
Phycicoccus badiiscoriae 95.45%
Phycicoccus aerophilus 96.46%
Tetrasphaera veronensis 96.34%"
AQP 4251,Bacteria,Janibacter limosus,99.60%,100.00%,751,"Janibacter limosus 99.60%
Janibacter hoylei PVAS-1 98.79%
Janibacter anophelis 98.39%
Janibacter terrae 97.99%
Janibacter cremeus 97.73%
Janibacter indicus 97.72%
Janibacter melonis 97.20%
Knoellia locipacati 96.69%
Janibacter corallicola 96.66%
Janibacter massiliensis 96.66%
Phycicoccus badiiscoriae 96.42%
Phycicoccus aerophilus 96.28%
Knoellia sinensis 96.26%
Knoellia subterranea 96.04%
Phycicoccus dokdonensis 96.02%
Knoellia remsis 96.14%
Janibacter alkaliphilus 96.12%
Oryzobacter terrae 95.89%
Knoellia flava TL1 96.01%
Phycicoccus bigeumensis 95.76%"
AQP 4320,Bacteria,Janibacter limosus,99.30%,100.00%,571,"Janibacter limosus 99.30%
Janibacter hoylei PVAS-1 98.60%
Janibacter anophelis 97.90%
Janibacter terrae 97.56%
Janibacter cremeus 97.03%
Janibacter indicus 97.02%
Janibacter melonis 96.17%
Janibacter corallicola 95.64%
Knoellia locipacati 95.66%
Phycicoccus badiiscoriae 95.47%
Janibacter massiliensis 95.46%
Knoellia subterranea 95.15%
Knoellia sinensis 95.12%
Oryzobacter terrae 95.13%
Phycicoccus aerophilus 95.11%
Terrabacter tumescens 95.11%"
AQP 9411,Bacteria,"Labrenzia aggregata 98.12%
Labrenzia alba 97.87%
Labrenzia salina 97.74%",98.12%,100.00%,797,"Labrenzia aggregata 98.12%
Labrenzia alba 97.87%
Labrenzia aggregata IAM 12614 97.74%
Labrenzia salina 97.74%
Stappia carboxidovorans 97.24%
Labrenzia marina 97.23%
Labrenzia alexandrii 96.61%
Stappia conradae 96.60%
Roseibium hamelinense 96.24%
Polymorphum gilvum SL003B-26A1 96.12%
Roseibium sediminis 95.62%
Pseudovibrio stylochi 95.12%
Stappia taiwanensis 95.09%"
AQP 9428,Bacteria,"Labrenzia aggregata 98.09%
Labrenzia alba 97.85%
Labrenzia salina 97.59%",98.09%,100.00%,787,"Labrenzia aggregata 98.09%
Labrenzia alba 97.85%
Labrenzia aggregata IAM 12614 97.71%
Labrenzia salina 97.59%
Stappia carboxidovorans 97.20%
Labrenzia marina 97.18%
Labrenzia alexandrii 96.57%
Stappia conradae 96.44%
Roseibium hamelinense 96.32%
Polymorphum gilvum SL003B-26A1 96.07%
Roseibium sediminis 95.57%
Pseudovibrio stylochi 95.06%"
AQP 9438,Bacteria,"Labrenzia aggregata 98.10%
Labrenzia alba 97.85%
Labrenzia salina 97.71%",98.10%,100.00%,789,"Labrenzia aggregata 98.10%
Labrenzia alba 97.85%
Labrenzia aggregata IAM 12614 97.72%
Labrenzia salina 97.71%
Stappia carboxidovorans 97.21%
Labrenzia marina 97.19%
Labrenzia alexandrii 96.58%
Stappia conradae 96.56%
Roseibium hamelinense 96.32%
Polymorphum gilvum SL003B-26A1 96.08%
Roseibium sediminis 95.58%
Pseudovibrio stylochi 95.07%"
AQP 9433,Bacteria,"Labrenzia aggregata 98.30%
Labrenzia salina 98.15%
Labrenzia alba 98.00%",98.30%,100.00%,647,"Labrenzia aggregata 98.30%
Labrenzia salina 98.15%
Labrenzia aggregata IAM 12614 98.15%
Labrenzia alba 98.00%
Stappia carboxidovorans 97.53%
Labrenzia alexandrii 97.53%
Labrenzia marina 97.52%
Stappia conradae 96.91%
Roseibium hamelinense 96.76%
Polymorphum gilvum SL003B-26A1 96.75%
Roseibium sediminis 97.71%
Pseudovibrio stylochi 95.69%
Roseibium denhamense 95.39%
Roseibium aquae 95.38%
Pannonibacter phragmitetus 95.36%
Pseudovibrio hongkongensis 95.22%
Pseudovibrio denitrificans 95.08%"
AQP 9444,Bacteria,"Labrenzia salina 99.66%
Labrenzia alba 98.98%
Labrenzia aggregata 98.97%",99.66%,100.00%,291,"Labrenzia salina 99.66%
Labrenzia alba 98.98%
Labrenzia aggregata IAM 12614 98.97%
Labrenzia aggregata 98.97%
Stappia carboxidovorans 98.63%
Roseibium hamelinense 98.63%
Labrenzia marina 98.28%
Labrenzia alexandrii 98.28%
Roseibium aquae 97.94%
Roseibium sediminis 97.94%
Stappia conradae 97.25%
Stappia meyerae 97.55%
Polymorphum gilvum SL003B-26A1 96.91%
Roseibium denhamense 96.92%
Pannonibacter indicus 96.22%
Devosia nitrariae 95.88%
Devosia geojensis 95.88%
Pannonibacter phragmitetus 95.53%
Devosia pacifica 95.19%
Chelativorans multitrophicus 95.45%"
AQP 4204,Bacteria,"Lacinutrix copepodicola 98.63%
Lacinutrix himadriensis 98.28%",98.28%,100.00%,814,"Lacinutrix himadriensis 98.28%
Lacinutrix copepodicola 98.63%
Lacinutrix algicola 95.72%
Lacinutrix gracilariae 95.27%
Lacinutrix iliipiscaria 94.92%
Lacinutrix mariniflava 95.19%"
AQP 9397,Bacteria,Leisingera daeponensis,98.30%,100.00%,175,"Leisingera daeponensis DSM 23529 98.30%
Leisingera aquaemixtae 97.73%
Leisingera caerulea DSM 24564 97.73%
Leisingera caerulea 97.73%
Phaeobacter inhibens DSM 16374 96.59%
Phaeobacter gallaeciensis DSM 26640 96.59%
Phaeobacter piscinae 96.59%
Shimia biformata 96.59%
Pseudophaeobacter arcticus DSM 23566 96.59%
Phaeobacter porticola 96.59%
Pelagicola litorisediminis 96.59%
Phaeobacter gallaeciensis 96.57%
Leisingera methylohalidivorans DSM 14336 96.07%
Leisingera aquimarina 96.07%
Epibacterium scottomollicae 96.02%
Cognatishimia maritima 96.02%"
AQP 9469,Bacteria,Leisingera daeponensis,100.00%,100.00%,543,"Leisingera daeponensis DSM 23529 100.00%
Leisingera caerulea DSM 24564 98.71%
Leisingera caerulea 98.34%
Leisingera aquaemixtae 97.97%
Phaeobacter gallaeciensis DSM 26640 97.97%
Phaeobacter piscinae 97.97%
Phaeobacter gallaeciensis 97.97%
Phaeobacter inhibens DSM 16374 97.61%
Leisingera aquimarina 96.88%
Epibacterium multivorans 97.05%
Leisingera methylohalidivorans DSM 14336 96.70%
Roseovarius scapharcae 97.00%
Pseudophaeobacter arcticus DSM 23566 97.00%
Marinovum algicola 96.50%
Phaeobacter porticola 96.50%
Epibacterium scottomollicae 96.67%
Shimia biformata 97.33%
Thalassococcus halodurans 96.49%
Shimia aquaeponti 96.31%
Litorisediminivivens gilvus 96.13%"
AQP 9568,Bacteria,"Limimaricola aestuariicola 99.13%
Limimaricola hongkongensis 98.98%",99.13%,100.00%,689,"Limimaricola aestuariicola 99.13%
Limimaricola hongkongensis 98.98%
Limimaricola cinnabarinus LL-001 98.11%
Limimaricola variabilis 97.82%
Limimaricola soesokkakensis 97.82%
Limimaricola pyoseonensis 97.39%
Roseivivax lentus 96.67%
Poseidonocella pacifica 96.08%
Cribrihabitans neustonicus 96.08%
Ketogulonicigenium vulgare 95.94%
Marivivens donghaensis 95.79%
Roseovarius algicolus 95.79%
Donghicola eburneus 95.79%
Salinovum rubellum 95.79%
Ketogulonicigenium robustum 95.63%
Yoonia litorea 95.66%
Salipiger profundus 95.50%
Roseovarius confluentis 95.50%
Roseivivax halotolerans 95.50%
Marimonas lutisali 95.50%"
AQP 9424,Bacteria,Loktanella acticola,99.37%,100.00%,799,"Loktanella acticola 99.37%
Yoonia rosea 98.87%
Yoonia tamlensis 98.38%
Yoonia maritima 98.25%
Yoonia sediminilitoris 98.12%
Yoonia maricola 98.12%
Yoonia litorea 98.00%
Yoonia vestfoldensis 97.88%
Loktanella agnita 97.38%
Litoreibacter meonggei 96.87%
Litoreibacter arenae DSM 19593 96.62%
Pseudoseohaeicola caenipelagi 96.25%
Litoreibacter halocynthiae 96.25%
Cognatiyoonia koreensis 95.88%
Litoreibacter ascidiaceicola 95.87%
Pelagicola litorisediminis 95.87%
Aestuariibius insulae 95.74%
Planktotalea lamellibrachiae 95.64%
Sulfitobacter pontiacus 95.62%
Litoreibacter albidus 95.62%"
AQP 9473,Bacteria,Loktanella agnita,98.10%,100.00%,787,"Loktanella agnita 98.10%
Yoonia litorea 97.47%
Loktanella acticola 97.35%
Yoonia tamlensis 97.10%
Yoonia rosea 96.84%
Yoonia sediminilitoris 96.84%
Yoonia maritima 96.71%
Yoonia vestfoldensis 96.58%
Yoonia maricola 96.33%
Litoreibacter meonggei 96.07%
Cognatiyoonia koreensis 95.95%
Tateyamaria pelophila 95.94%
Ascidiaceihabitans donghaensis 95.70%
Aestuariibius insulae 95.69%
Litoreibacter arenae DSM 19593 95.56%
Roseovarius aestuarii 95.56%
Pseudoseohaeicola caenipelagi 95.45%
Litoreibacter halocynthiae 95.43%
Pelagicola litorisediminis 95.43%
Loktanella salsilacus 95.19%"
AQP 9474,Bacteria,Loktanella agnita,97.38%,100.00%,535,"Loktanella agnita 97.38%
Loktanella acticola 96.07%
Yoonia litorea 96.07%
Tateyamaria pelophila 95.89%
Roseovarius aestuarii 95.70%
Ascidiaceihabitans donghaensis 95.50%
Yoonia tamlensis 95.34%
Yoonia rosea 95.33%
Jannaschia helgolandensis 95.31%
Yoonia vestfoldensis 95.31%
Yoonia maritima 95.63%
Pelagicola litorisediminis 95.11%"
AQP 9540,Bacteria,Loktanella agnita,98.18%,99.72%,719,"Loktanella agnita 98.18%
Loktanella acticola 97.36%
Yoonia litorea 97.22%
Yoonia tamlensis 96.81%
Yoonia rosea 96.80%
Tateyamaria pelophila 96.79%
Yoonia sediminilitoris 96.53%
Ascidiaceihabitans donghaensis 96.52%
Yoonia vestfoldensis 96.52%
Roseovarius aestuarii 96.51%
Yoonia maritima 96.39%
Pseudoseohaeicola caenipelagi 96.24%
Yoonia maricola 96.24%
Pelagicola litorisediminis 96.09%
Litoreibacter meonggei 95.96%
Sulfitobacter mediterraneus 96.07%
Sulfitobacter noctilucae 95.81%
Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565 95.68%
Amylibacter cionae 95.56%
Cognatiyoonia koreensis 95.55%"
AQP 9560,Bacteria,Marinobacter hydrocarbonoclasticus,99.65%,100.00%,863,"Marinobacter hydrocarbonoclasticus VT8 99.65%
Marinobacter hydrocarbonoclasticus ATCC 49840 99.65%
Marinobacter gudaonensis 97.80%
Marinobacter oulmenensis 97.33%
Marinobacter profundi 97.22%
Marinobacter nitratireducens 97.11%
Marinobacter lutaoensis 97.10%
Marinobacter lipolyticus 97.10%
Marinobacter santoriniensis NKSG1 97.10%
Marinobacter alkaliphilus 96.99%
Marinobacter koreensis 96.99%
Marinobacter pelagius 96.99%
Marinobacter persicus 96.99%
Marinobacter segnicrescens 97.30%
Marinobacter shengliensis 96.88%
Marinobacter bryozoorum 96.76%
Marinobacter daepoensis 96.53%
Marinobacter salinus 96.65%
Marinobacter goseongensis 96.64%
Marinobacter aquaticus 96.64%"
AQP 9534,Bacteria,"Marinobacter segnicrescens 98.35%
Marinobacter gudaonensis 98.11%",98.35%,99.25%,796,"Marinobacter segnicrescens 98.35%
Marinobacter gudaonensis 98.11%
Marinobacter hydrocarbonoclasticus VT8 97.74%
Marinobacter hydrocarbonoclasticus ATCC 49840 97.74%
Marinobacter pelagius 97.74%
Marinobacter lacisalsi 97.74%
Marinobacter adhaerens HP15 97.49%
Marinobacter algicola DG893 97.37%
Marinobacter koreensis 97.36%
Marinobacter zhanjiangensis 97.36%
Marinobacter santoriniensis NKSG1 97.11%
Marinobacter lutaoensis 97.11%
Marinobacter profundi 96.98%
Marinobacter aquaticus 96.98%
Marinobacter bryozoorum 96.86%
Marinobacter persicus 96.86%
Marinobacter lipolyticus 96.86%
Marinobacter salsuginis SD-14B 96.74%
Marinobacter flavimaris 96.74%
Marinobacter mobilis 96.73%"
AQP 9621,Bacteria,Marivivens donghaensis,99.88%,100.00%,820,"Marivivens donghaensis 99.88%
Limimaricola soesokkakensis 96.10%
Limimaricola aestuariicola 95.98%
Loktanella aquimaris 95.85%
Limimaricola cinnabarinus LL-001 95.61%
Limimaricola hongkongensis 95.49%
Limimaricola variabilis 95.37%
Marivivens niveibacter 95.37%
Yoonia sediminilitoris 95.24%
Poseidonocella pacifica 95.25%
Thalassococcus halodurans 95.13%
Ketogulonicigenium vulgare 95.00%"
AQP 9414,Bacteria,"Mesobacillus jeotgali 99.50%
Mesobacillus thioparans 99.50%
Mesobacillus boroniphilus 99.37%",99.50%,100.00%,799,"Mesobacillus jeotgali 99.50%
Mesobacillus thioparans 99.50%
Mesobacillus boroniphilus 99.37%
Mesobacillus subterraneus 99.12%
Bacillus selenatarsenatis SF-1 99.24%
Mesobacillus stamsii 98.25%
Bacillus marasmi 97.00%
Cytobacillus oceanisediminis 97.65%
Bacillus mediterraneensis 96.25%
Mesobacillus foraminis 96.25%
Mesobacillus zeae 97.04%
Mesobacillus persicus 96.13%
Bacillus iocasae 96.14%
Neobacillus novalis 95.87%
Mesobacillus campisalis 95.88%
Cytobacillus depressus 95.88%
Bacillus ginsengisoli 95.89%
Neobacillus bataviensis 95.74%
Neobacillus niacini 95.76%
Bacillus fermenti 95.74%"
AQP 9610,Bacteria,"Micrococcus aloeverae 99.38%
Micrococcus luteus 99.25%
Micrococcus yunnanensis 99.25%",99.38%,100.00%,804,"Micrococcus aloeverae 99.38%
Micrococcus luteus 99.25%
Micrococcus yunnanensis 99.25%
Micrococcus endophyticus 98.88%
Micrococcus antarcticus 97.64%
Micrococcus lylae 97.52%
Micrococcus flavus 97.39%
Micrococcus terreus 97.27%
Micrococcus cohnii 97.15%
Citricoccus nitrophenolicus 96.66%
Citricoccus zhacaiensis 96.65%
Citricoccus yambaruensis 96.02%
Pseudarthrobacter phenanthrenivorans Sphe3 95.91%
Arthrobacter oryzae 95.92%
Arthrobacter pascens 95.91%
Citricoccus parietis 95.90%
Citricoccus muralis 95.68%
Neomicrococcus aestuarii 95.78%
Pseudarthrobacter siccitolerans 95.78%
Citricoccus alkalitolerans 95.56%"
AQP 9604,Bacteria,"Micrococcus luteus 99.52%
Micrococcus yunnanensis 99.52%
Micrococcus aloeverae 99.28%",99.52%,100.00%,415,"Micrococcus luteus 99.52%
Micrococcus yunnanensis 99.52%
Micrococcus aloeverae 99.28%
Micrococcus endophyticus 98.55%
Micrococcus antarcticus 97.59%
Micrococcus lylae 96.88%
Micrococcus terreus 96.88%
Citricoccus nitrophenolicus 96.64%
Arthrobacter oryzae 96.65%
Arthrobacter pascens 96.63%
Micrococcus flavus 96.63%
Pseudarthrobacter sulfonivorans 96.84%
Micrococcus cohnii 96.40%
Arthrobacter humicola 96.82%
Pseudarthrobacter polychromogenes 96.82%
Arthrobacter woluwensis 96.16%
Glutamicibacter mishrai 96.15%
Pseudarthrobacter phenanthrenivorans Sphe3 96.15%
Arthrobacter globiformis 96.81%
Citricoccus zhacaiensis 96.15%"
AQP 9413,Bacteria,"Micrococcus luteus 99.75%
Micrococcus yunnanensis 99.75%
Micrococcus aloeverae 99.63%",99.75%,100.00%,806,"Micrococcus luteus 99.75%
Micrococcus yunnanensis 99.75%
Micrococcus aloeverae 99.63%
Micrococcus endophyticus 99.13%
Micrococcus antarcticus 98.26%
Micrococcus flavus 98.01%
Micrococcus lylae 97.77%
Micrococcus cohnii 97.53%
Micrococcus terreus 97.52%
Citricoccus nitrophenolicus 97.16%
Citricoccus zhacaiensis 96.78%
Citricoccus yambaruensis 96.53%
Neomicrococcus aestuarii 96.40%
Citricoccus muralis 96.18%
Arthrobacter oryzae 96.29%
Arthrobacter pascens 96.28%
Citricoccus alkalitolerans 96.05%
Citricoccus parietis 96.16%
Pseudarthrobacter phenanthrenivorans Sphe3 96.03%
Pseudarthrobacter sulfonivorans 96.03%"
AQP 4235,Bacteria,"Micrococcus luteus 99.87%
Micrococcus yunnanensis 99.87%
Micrococcus aloeverae 99.74%",99.87%,100.00%,775,"Micrococcus luteus 99.87%
Micrococcus yunnanensis 99.87%
Micrococcus aloeverae 99.74%
Micrococcus endophyticus 99.35%
Micrococcus antarcticus 98.32%
Micrococcus lylae 97.81%
Micrococcus flavus 97.68%
Micrococcus cohnii 97.43%
Micrococcus terreus 97.42%
Citricoccus nitrophenolicus 96.92%
Citricoccus zhacaiensis 96.91%
Citricoccus yambaruensis 96.26%
Neomicrococcus aestuarii 96.13%
Pseudarthrobacter phenanthrenivorans Sphe3 96.01%
Citricoccus muralis 95.90%
Citricoccus parietis 95.89%
Zhihengliuella flava 95.88%
Neomicrococcus lactis 95.87%
Arthrobacter oryzae 96.11%
Arthrobacter pascens 95.88%"
AQP 9442,Bacteria,Mycolicibacterium frederiksbergense,99.73%,100.00%,738,"Mycolicibacterium frederiksbergense 99.73%
Mycobacterium hackensackense 99.19%
Mycolicibacterium fluoranthenivorans 99.19%
Mycolicibacterium diernhoferi 98.92%
Mycolicibacterium bacteremicum 98.92%
Mycolicibacterium neoaurum ATCC 25795 98.78%
Mycolicibacterium canariasense 98.78%
Mycolicibacterium setense 98.64%
Mycolicibacterium cosmeticum 98.65%
Mycolicibacterium peregrinum 98.51%
Mycolicibacterium wolinskyi 98.51%
Mycolicibacterium montmartrense 98.37%
Mycolicibacterium arcueilense 98.37%
Mycolicibacterium lutetiense 98.37%
Mycolicibacterium septicum DSM 44393 98.37%
Mycolicibacterium mageritense 98.37%
Mycolicibacterium mageritense DSM 44476 = CIP 104973 98.37%
Mycolicibacterium alvei 98.37%
Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 98.24%
Mycolicibacterium brisbanense 98.24%"
AQP 9432,Bacteria,Neptunomonas concharum,99.87%,100.00%,776,"Neptunomonas concharum 99.87%
Neptunomonas marina 97.55%
Neptunomonas japonica DSM 18939 96.64%
Neptunomonas phycophila 96.39%
Neptunomonas naphthovorans 96.00%
Neptunomonas qingdaonensis 95.23%
Neptunomonas acidivorans 95.22%
Neptunomonas antarctica 95.00%"
AQP 9518,Bacteria,Neptunomonas concharum,98.44%,100.00%,766,"Neptunomonas concharum 98.44%
Neptunomonas marina 96.62%
Neptunomonas japonica DSM 18939 95.84%
Neptunomonas phycophila 95.20%
Neptunomonas naphthovorans 95.07%"
AQP 9519,Bacteria,Neptunomonas concharum,99.74%,100.00%,384,"Neptunomonas concharum 99.74%
Neptunomonas marina 97.89%
Neptunomonas japonica DSM 18939 95.61%
Neptunomonas phycophila 95.06%
Amphritea japonica ATCC BAA-1530 95.06%"
AQP 9608,Bacteria,Neptunomonas concharum,99.87%,100.00%,758,"Neptunomonas concharum 99.87%
Neptunomonas marina 97.35%
Neptunomonas phycophila 95.92%
Neptunomonas japonica DSM 18939 95.79%
Neptunomonas naphthovorans 95.14%"
AQP 9410,Bacteria,Nesterenkonia halotolerans,100.00%,100.00%,807,"Nesterenkonia halotolerans 100.00%
Nesterenkonia sandarakina 99.75%
Nesterenkonia jeotgali 99.63%
Nesterenkonia lutea 99.38%
Nesterenkonia aurantiaca 99.13%
Nesterenkonia flava 96.91%
Nesterenkonia aethiopica 96.79%
Nesterenkonia halobia 96.42%
Nesterenkonia xinjiangensis 96.42%
Nesterenkonia suensis 96.29%
Nesterenkonia lacusekhoensis 96.17%
Nesterenkonia halophila 96.18%
Nesterenkonia cremea 96.18%
Arthrobacter crystallopoietes 96.16%
Citricoccus nitrophenolicus 95.92%
Kocuria uropygioeca 95.81%
Kocuria uropygialis 95.81%
Nesterenkonia alba 95.79%
Arthrobacter luteolus 95.68%
Citricoccus zhacaiensis 95.54%"
AQP 9555,Bacteria,Nesterenkonia halotolerans,100.00%,99.73%,750,"Nesterenkonia halotolerans 100.00%
Nesterenkonia sandarakina 99.73%
Nesterenkonia jeotgali 99.60%
Nesterenkonia lutea 99.47%
Nesterenkonia aurantiaca 99.20%
Nesterenkonia flava 96.80%
Nesterenkonia aethiopica 96.67%
Nesterenkonia suensis 96.53%
Nesterenkonia xinjiangensis 96.27%
Nesterenkonia halobia 96.14%
Nesterenkonia lacusekhoensis 96.14%
Nesterenkonia cremea 96.01%
Nesterenkonia halophila 95.88%
Arthrobacter crystallopoietes 95.99%
Citricoccus nitrophenolicus 95.87%
Kocuria uropygioeca 95.62%
Kocuria uropygialis 95.62%
Nesterenkonia alba 95.59%
Arthrobacter luteolus 95.47%
Citricoccus zhacaiensis 95.46%"
AQP 9576,Bacteria,"Nesterenkonia sandarakina 99.49%
Nesterenkonia jeotgali 99.36%
Nesterenkonia halotolerans 99.24%",99.49%,100.00%,785,"Nesterenkonia sandarakina 99.49%
Nesterenkonia jeotgali 99.36%
Nesterenkonia halotolerans 99.24%
Nesterenkonia lutea 98.85%
Nesterenkonia aurantiaca 98.60%
Nesterenkonia flava 96.31%
Nesterenkonia aethiopica 96.19%
Nesterenkonia halobia 95.94%
Nesterenkonia lacusekhoensis 95.81%
Nesterenkonia suensis 95.81%
Nesterenkonia halophila 95.69%
Nesterenkonia cremea 95.69%
Arthrobacter crystallopoietes 95.80%
Nesterenkonia xinjiangensis 95.69%
Citricoccus nitrophenolicus 95.67%
Kocuria uropygioeca 95.44%
Kocuria uropygialis 95.44%
Arthrobacter luteolus 95.30%
Nesterenkonia alba 95.29%
Citricoccus zhacaiensis 95.28%"
AQP 9600,Bacteria,"Nocardioides alpinus 98.47%
Nocardioides furvisabuli 98.46%",98.47%,100.00%,781,"Nocardioides alpinus 98.47%
Nocardioides furvisabuli 98.46%
Nocardioides cavernae 97.57%
Nocardioides zeicaulis 97.19%
Nocardioides oleivorans 97.06%
Nocardioides exalbidus 97.08%
Nocardioides ganghwensis 96.93%
Nocardioides flavus Wang et al. 2016 96.68%
Nocardioides glacieisoli 96.68%
Nocardioides terrigena 96.55%
Nocardioides marinus 96.17%
Nocardioides hwasunensis 95.96%
Nocardioides sediminis 95.67%
Nocardioides agrisoli 95.40%
Nocardioides aromaticivorans 95.40%
Nocardioides kongjuensis 95.28%
Nocardioides sonneratiae 95.26%
Nocardioides marinisabuli 95.15%
Nocardioides dokdonensis 95.02%"
AQP 9482,Bacteria,Novosphingobium tardaugens,98.51%,100.00%,404,"Novosphingobium tardaugens 98.51%
Novosphingobium kunmingense 98.02%
Alteraurantiacibacter aestuarii 98.02%
Erythrobacter aureus 97.77%
Altererythrobacter epoxidivorans 97.77%
Altericroceibacterium endophyticum 97.52%
Aurantiacibacter luteus 97.52%
Parapontixanthobacter aurantiacus 97.52%
Pelagerythrobacter marensis 97.52%
Qipengyuania seohaensis 97.52%
Paraurantiacibacter namhicola 97.28%
Aurantiacibacter xanthus 97.03%
Erythrobacter ramosus 97.03%
Qipengyuania pelagi 97.02%
Altererythrobacter palmitatis 96.78%
Erythrobacter sanguineus 96.78%
Tsuneonella troitsensis 96.78%
Qipengyuania oceanensis 96.78%
Lutibacterium anuloederans 96.78%
Qipengyuania citrea 96.53%"
AQP 9627,Bacteria,Oceanobacillus picturae,99.75%,100.00%,394,"Oceanobacillus picturae 99.75%
Oceanobacillus manasiensis 98.47%
Ornithinibacillus salinisoli 96.19%
Virgibacillus marismortui 95.19%
Virgibacillus kekensis 95.21%
Virgibacillus salarius 95.19%"
AQP 4261,Bacteria,Paenibacillus amylolyticus,99.45%,100.00%,722,"Paenibacillus amylolyticus 99.45%
Paenibacillus tundrae 99.03%
Paenibacillus taichungensis 98.75%
Paenibacillus mobilis 98.76%
Paenibacillus seodonensis 98.75%
Paenibacillus tylopili 98.75%
Paenibacillus cucumis Kampfer et al. 2016 98.61%
Paenibacillus barcinonensis 98.61%
Paenibacillus xylanexedens 98.62%
Paenibacillus polysaccharolyticus 98.75%
Paenibacillus pabuli 97.78%
Paenibacillus intestini 98.45%
Paenibacillus oceanisediminis 97.78%
Paenibacillus illinoisensis 97.66%
Paenibacillus xylanilyticus 97.66%
Paenibacillus dongdonensis 98.43%
Paenibacillus silvae 97.61%"
AQP 9405,Bacteria,Paenisporosarcina macmurdoensis,99.38%,100.00%,802,"Paenisporosarcina macmurdoensis 99.38%
Paenisporosarcina quisquiliarum 98.75%
Paenisporosarcina indica 98.75%
Paenisporosarcina antarctica 98.38%
Sporosarcina globispora 95.65%
Viridibacillus arvi 95.52%
Psychrobacillus lasiicapitis 95.39%
Psychrobacillus psychrodurans 95.40%
Viridibacillus arenosi 95.40%
Sporosarcina psychrophila 95.40%
Psychrobacillus insolitus 95.27%
Psychrobacillus psychrotolerans 95.16%"
AQP 9508,Bacteria,Paracoccus homiensis,99.50%,99.87%,796,"Paracoccus homiensis 99.50%
Paracoccus zeaxanthinifaciens 98.99%
Paracoccus zeaxanthinifaciens subsp. payriae 98.87%
Paracoccus aquimaris 98.62%
Paracoccus indicus 98.49%
Paenirhodobacter enshiensis 97.36%
Paracoccus seriniphilus 97.36%
Paracoccus caeni 97.36%
Rhodobacter vinaykumarii 97.23%
Paracoccus communis 97.11%
Paracoccus denitrificans 96.98%
Paracoccus pueri 96.98%
Paracoccus hibisci 96.98%
Paracoccus fistulariae 96.98%
Thioclava pacifica DSM 10166 96.86%
Paracoccus beibuensis 96.66%
Paracoccus subflavus 96.86%
Thioclava nitratireducens 96.86%
Paracoccus versutus 96.86%
Paracoccus aerius 96.74%"
